gparent,status,gen,case,Ngen,Ncase,dir,worker_id,elapsed_time,E_driver,IFAR,P_alpha_avg,P_driver_avg,P_electric_generated,P_electric_net,P_fus_avg,P_fus_peak,P_neutron_avg,Q_plant,Q_target,R_fuel,R_hotspot,R_target,TBR,Te0_peak,ablator,capital_cost,duty_cycle,eta_conversion,eta_coupling,eta_thermal,flattop_duration,levelized_CoE,max_Psol_R,max_beta_normal,max_flattop,max_fusion,max_hds03,max_ifar,max_log10_flattop,max_ne_peaking,max_oh_coil_j,max_oh_coil_stress,max_pl_stress,max_power_electric_net,max_q95,max_qpol_omp,max_tf_coil_j,max_tf_coil_stress,max_transport_error,max_zeff,max_ωpe_ωce,min_R0,min_capital_cost,min_flattop_duration,min_levelized_CoE,min_lh_power_threshold_fraction,min_log10_levelized_CoE,min_power_electric_net,min_q95,min_qmin,min_required_B0,min_βn,n_beams,ne0_peak,peak_wall_flux_avg,power_electric_net,rep_rate,rep_rate_pellet,req_flattop,req_power_electric_net,tau_pulse,zero_ohmic
/gen01/case01,success,1,1,30,50,ife_moop_run,2,85.85352993011475,6.654382663082514,2.6508055877791215,16.65929678227768,103.02581584225192,513.6240474591501,-51.61187004397452,83.29648391138839,2.9929268303948855e6,66.63718712911071,0.9086896843499171,0.8085010851933256,0.8301485951118178,0.24904457853354536,1.3047693398904108,1.105381664021936,8.073543603125001,HDC,48.54831470450225,2.7831112697265067e-8,0.18723935054942475,0.85,38.48739089552685,NaN,Inf,NaN,NaN,NaN,-2.9929268303948855e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,51.61187004397452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.54831470450225,NaN,Inf,NaN,Inf,1.5161187004397452,NaN,NaN,NaN,NaN,16.0,2.6915574596702633e31,5.860823137197502e-7,1.3161187004397452,15.482400255372028,15.482400255372028,NaN,151.6118700439745,1.7975967704108624,NaN
/gen01/case02,success,1,2,30,50,ife_moop_run,3,77.26914691925049,7.032375625100445,5.433992990050497,148.5715738640873,117.49544779736316,647.8052999723958,-930.5319207430779,742.8578693204364,1.0568225897861112e7,594.2862954563492,0.41043529321239736,6.322439577417464,1.3676365231064396,0.41029095693193185,2.052726697049273,1.105381664021936,7.941968409375001,HDC,52.71472653930422,7.029163423453906e-8,0.07515681597063903,0.85,12.738871019396303,NaN,Inf,NaN,NaN,NaN,-1.0568225897861113e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,930.5319207430779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.71472653930422,NaN,Inf,NaN,Inf,10.30531920743078,NaN,NaN,NaN,NaN,16.0,2.240623705819081e31,5.6405098859254095e-6,10.10531920743078,16.707788955127796,16.707788955127796,NaN,1030.5319207430778,4.207117675673406,NaN
/gen01/case03,success,1,3,30,50,ife_moop_run,4,86.34695816040039,1.0121525013225041,103.86811361495286,92.22355538802198,9.650754745840226,519.7438656599774,433.28513928531123,461.11777694010993,6.82674434253927e6,368.8942215520879,6.011467985402463,47.78048858187656,3.069893522040742,0.9209680566122227,3.5962978156824166,1.105381664021936,2.38487233359375,HDC,16.562028296330958,6.754578080019222e-8,0.1350535509860647,0.85,27.72476789498181,NaN,0.5815309724490425,NaN,NaN,NaN,-6.82674434253927e9,NaN,73.86811361495286,NaN,NaN,NaN,NaN,NaN,-433.28513928531123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.562028296330958,NaN,0.5815309724490425,NaN,-0.23542714971369602,0.0,NaN,NaN,NaN,NaN,16.0,1.6107825946005961e32,1.998116689497032e-6,3.132851392853112,9.534882078768076,9.534882078768076,NaN,333.28513928531123,7.084070913745297,NaN
/gen01/case04,success,1,4,30,50,ife_moop_run,5,86.60504817962646,3.8079314785875833,25.836788262589156,260.01406214992505,19.751470936973373,641.0827926457599,332.24899917419526,1300.0703107496254,2.594724257719949e7,1040.0562485997002,2.075818146192562,65.82144261043285,3.2717206555532967,0.981516196665989,3.6695899448161757,1.105381664021936,3.7525910296875002,HDC,33.72636182950748,5.0104372627711536e-8,0.06721987523495929,0.85,16.539413351979157,NaN,1.4077691360205644,NaN,NaN,NaN,-2.594724257719949e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-332.24899917419526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.72636182950748,NaN,1.4077691360205644,NaN,0.14853143948429648,0.0,NaN,NaN,NaN,NaN,16.0,6.522385468414899e31,3.064578957944641e-6,2.122489991741953,5.186929189256178,5.186929189256178,NaN,232.2489991741953,9.659737158450907,NaN
/gen01/case05,success,1,5,30,50,ife_moop_run,6,83.94356298446655,8.60663814068781,11.14887803654035,829.26914275098,78.00231303667401,1548.3729479940014,904.5176322937876,4146.345713754899,4.656699456322665e7,3317.07657100392,2.4048461047651597,53.15670205581506,2.9572191918321167,0.887165757549635,3.5688267389132116,1.105381664021936,5.5331917265625,HDC,64.9769982893989,8.904044060917805e-8,0.12403856831490802,0.85,12.738871019396303,NaN,0.9808723887495904,NaN,NaN,NaN,-4.656699456322665e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-904.5176322937876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.9769982893989,NaN,0.9808723887495904,NaN,-0.00838749054751879,0.0,NaN,NaN,NaN,NaN,16.0,3.4160282458580733e31,1.7077846388289383e-5,7.845176322937875,9.063040848425906,9.063040848425906,NaN,804.5176322937876,9.824565738842812,NaN
/gen01/case06,fail,1,6,30,50,ife_moop_run,7,28.191365957260132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
/gen01/case07,success,1,7,30,50,ife_moop_run,8,84.64137005805969,6.952828165162909,10.020444431448897,663.3666348651637,118.4651414489523,1608.3328061948648,433.35422798196504,3316.8331743258186,2.5729029879379146e7,2653.466539460655,1.3688188329706243,27.998389515746894,2.4356582298637317,0.7306974689591195,2.9436501956087566,1.105381664021936,5.370497945312501,HDC,55.59113557116458,1.2891403950617418e-7,0.10212700792411486,0.85,12.738871019396303,NaN,1.7978260681774174,NaN,NaN,NaN,-2.5729029879379143e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-433.35422798196504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.59113557116458,NaN,1.7978260681774174,NaN,0.2547476733345708,0.0,NaN,NaN,NaN,NaN,16.0,3.7748895482309337e31,2.5683036276653134e-5,3.1335422798196504,17.038410648852356,17.038410648852356,NaN,333.35422798196504,7.566083607384903,NaN
/gen01/case08,success,1,8,30,50,ife_moop_run,9,82.68268299102783,1.1020823059797662,135.47757223811124,206.84908538729516,12.752051713678295,639.3181779066393,560.3997727606795,1034.2454269364757,1.0554544682853356e7,827.3963415491806,8.10100225320339,81.10423719714908,4.00166921383621,1.2005007641508627,4.4000853066800145,1.105381664021936,2.0980138867187503,HDC,18.018472478407748,9.799052995783746e-8,0.19950516106524463,0.85,18.176866894990503,NaN,0.4938531745713514,NaN,NaN,NaN,-1.0554544682853355e10,NaN,105.47757223811124,NaN,NaN,NaN,NaN,NaN,-560.3997727606795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.018472478407748,NaN,0.4938531745713514,NaN,-0.30640215016835604,0.0,NaN,NaN,NaN,NaN,16.0,2.1199657527035148e32,5.438552187376013e-6,4.403997727606795,11.570870564282899,11.570870564282899,NaN,460.39977276067947,8.468725789770373,NaN
/gen01/case09,fail,1,9,30,50,ife_moop_run,7,1.1467270851135254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
/gen01/case10,success,1,10,30,50,ife_moop_run,7,40.55541515350342,3.4498978885112783,5.294614756485546,21.017181990936365,67.3819746430216,513.4410167731463,30.958374189347268,105.08590995468184,2.338216438641153e6,84.06872796374546,1.0641647418103135,1.5595552150468932,1.0131663250174554,0.3039498975052366,1.3437375550513162,1.105381664021936,5.4150893671875,HDC,30.14644160296186,4.4942764159057996e-8,0.1441379176574304,0.85,39.03694919766971,NaN,14.18602203888844,NaN,NaN,NaN,-2.338216438641153e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-30.958374189347268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.14644160296186,NaN,14.18602203888844,NaN,1.1518606302171648,0.6904162581065273,NaN,NaN,NaN,NaN,16.0,4.621234285714664e31,9.32772294102265e-7,0.4904162581065273,19.53158522964246,19.53158522964246,NaN,69.04162581065273,2.301030030621877,NaN
